ID,Attore / Ruolo,Nome User Story,User Story,How to Demo,Importanza,
56,Sistema,Risoluzione bug di sistema,"Come sistema, voglio correggere i bug emersi in Sprint 1 e durante Sprint 2, così da garantire stabilità in demo e su Render.","- Eseguire i test automatici backend (Jest) sulle route principali: esito verde su auth, sessioni, attività, meteo, quiz e sentieri.
 - Smoke test mobile: login, creazione/join sessione, AVVIA tracking, invio SOS, caricamento tab Social.
 - Verificare deploy backend Render raggiungibile dall'app (nessun 500 da merge conflict noti).
 - Riprodurre i fix Sprint 1/2 noti: dialog attività corta, formato date sessione, permessi admin meteo.
 - CI/build mobile senza errori di compilazione su branch di sprint.",3,
48,Sistema,Sicurezza di sistema,"Come sistema, voglio che l’applicazione garantisca la protezione dei dati, il controllo degli accessi e la prevenzione di utilizzi non autorizzati, in modo da ridurre i rischi di sicurezza, assicurare l’integrità delle informazioni e rispettare i requisiti normativi.","- Avviare l’applicazione e verificare che l’accesso sia consentito solo previa autenticazione.
 - Tentare l’accesso con credenziali non valide e verificare il rifiuto dell’operazione.
 - Accedere con un utente autorizzato e verificare che le funzionalità disponibili siano coerenti con il ruolo assegnato.
 - Tentare l’accesso a una risorsa protetta senza autorizzazione e verificare il blocco.
 - Verificare che i dati sensibili siano trasmessi e memorizzati in forma protetta.
 - Simulare un’azione anomala (es. tentativi di accesso ripetuti) e verificare l’attivazione dei meccanismi di sicurezza.",4,
2,Tutti gli utenti,Accesso offline con token JWT,"Come utente già autenticato, voglio poter accedere all'app anche senza connessione internet, cosi da usare le funzionalità anche in montagna.","Dopo il primo login online, l'app consente l'accesso biometrico/PIN anche senza rete. Il token JWT è salvato nel Secure Storage del dispositivo.",5,
7,Partecipante,Checklist equipaggiamento dinamica,"Come escursionista voglio ricevere una checklist dell'equipaggiamento necessaria basata sull'itinerario e sulle condizioni meteo (durante i giorni precedenti alla partenza), cosi da prepararmi adeguatamente","La checklist viene generata automaticamente incrociando dati territoriali e meteo. In assenza di rete, viene mostrata una checklist base pre-salvata.",15,
12,Partecipante,Mappa offline e bussola,"Come escursionista, voglio poter consultare una mappa offline con la mia posizione e una bussola cosi da orientarmi anche senza copertura internet",La mappa OSM con padding di 1 km è scaricata preventivamente. La bussola è funzionante offline. La posizione relativa rispetto al gruppo è visibile.,20,
10,Partecipante,Tracciamento GPS in background,"voglio che la mia posizione GPS venga tracciata automaticamente in background durante l'escursione, cosi da garantire la mia sicurezza e quella del gruppo",Il tracciamento GPS avviene tramite Foreground Service. La posizione è aggiornata e inviata al Capogruppo. Il tracciamento persiste anche con schermata spenta.,22,
13,Partecipante,Auto-Pause GPS da fermo,"escursionista, voglio che il tracciamento GPS si riduca automaticamente quando sono fermo, cosi da risparmiare la batteria del dispositivo",L'accelerometro rileva l'immobilità e riduce il campionamento GPS da 1 Hz a 0.01 Hz. Il tracciamento riprende automaticamente al rilevamento di movimento. Verificare che il battery drain sia <8%/ora.,24,
11,Partecipante,Invio segnale SOS,Come escursionista in difficoltà voglio poter inviare un segnale SOS con le mie coordinate GPS cosi da ricevere soccorso il prima possibile.,"La pressione prolungata del tasto SOS invia nome, coordinate e tipo di emergenza. In assenza di rete, il segnale viene propagato via BLE Mesh. È richiesta conferma prima dell'invio.",28,
34,Sistema,Risposta API < 500ms (p95),Come sistema voglio che le query vengano elaborate velocemente così da garantire un'esperienza utente fluida,I test di carico verificano che il p95 delle risposte API sia < 500 ms. L'indice geospaziale 2dsphere di MongoDB ottimizza le query di prossimità.,35,
47,Tutti gli utenti,Planning,Come utente voglio poter selezionare il punto di arrivo e di partenza in modo tale da visualizzare i sentieri percorribili,"Nella schermata di ""Pianifica Sessione"" un pulsante vai alla mappa porta alla mappa aggiornata con dei punti di meta predefiniti e tutti i sentieri che arrivano al punto di meta vengono evidenziati e resi selezionabili.
 Una volta selezionati si apre una scheda con info sul sentiero e il tasto conferma",37,
