ID,Attore / Ruolo,Nome User Story,User Story,How to Demo,Importanza
3,Tutti gli utenti,Registrazione account,"Come nuovo utente, voglio poter creare un account inserendo i miei dati, così da accedere alla piattaforma e usufruire dei suoi servizi.",La registrazione richiede email e password (o OAuth). L'account viene creato correttamente e l'utente riceve conferma.,1
1,Tutti gli utenti,Autenticazione al sistema,"Come utente, voglio poter effettuare il login con le mie credenziali così da accedere alle funzionalità del sistema in base al mio ruolo.","L'utente inserisce credenziali valide nella schermata iniziale e ottiene accesso al servizio. Credenziali errate mostrano errore. Il ruolo viene rilevato automaticamente (Escursionista, Capogruppo, ecc.).",2
4,Tutti gli utenti,Logout,"Come utente autenticato voglio poter effettuare il logout dall'app, così da proteggere i miei dati su dispositivi condivisi.",1. Login. 2. Profilo → Logout. 3. Verificare schermata login. 4. Riaprire app senza sessione attiva.,3
2,Tutti gli utenti,Accesso offline con token JWT,"Come utente già autenticato, voglio poter accedere all'app anche senza connessione internet, così da usare le funzionalità critiche in montagna.","Dopo il primo login online, l'app consente l'accesso biometrico/PIN anche senza rete. Il token JWT è salvato nel Secure Storage del dispositivo.",5
18,Capogruppo,Gestione sessione escursione,"Come Capogruppo, voglio poter creare una nuova sessione di escursione con i parametri del percorso, così da coordinare il gruppo e avviare il tracciamento.",La sessione viene creata con un Session ID univoco. Il sistema verifica i privilegi del ruolo. Senza connessione il sistema avvisa che è impossibile creare la sessione.,8
6,Capogruppo,Aggiornamento sessione,"Come capogruppo voglio poter aggiornare i parametri della sessione (nome, data, ora, partecipanti), così da adattare il piano escursione.",1. Creare sessione. 2. Modificare nome/data/ora. 3. Salvare e verificare persistenza.,9
15,Capogruppo,Eliminazione sessione,"Come capogruppo voglio poter eliminare una sessione che ho creato, così da annullare l'escursione per tutto il gruppo.",1. Login come creator. 2. Elimina sessione. 3. Verificare rimozione per tutti i partecipanti.,10
33,Amministratore,Gestione registrazioni utenti e ruoli,"Come Amministratore, voglio poter gestire le registrazioni degli utenti e assegnare/modificare i loro ruoli, così da controllare i privilegi di accesso al sistema.","L'admin può visualizzare tutti gli utenti, modificare il ruolo (RBAC) e disabilitare account. Le modifiche sono propagate immediatamente al sistema.",13
7,Partecipante,Checklist equipaggiamento dinamica,"Come escursionista, voglio ricevere una checklist dell'equipaggiamento necessaria basata sull'itinerario scelto e sulle condizioni meteo (durante i giorni precedenti alla partenza), così da prepararmi adeguatamente.","La checklist viene generata automaticamente incrociando dati territoriali e meteo. In assenza di rete, viene mostrata una checklist base pre-salvata.",15
19,Capogruppo,Generazione codice invito QR,"Come Capogruppo, voglio poter generare un codice invito alfanumerico e un QR Code per il gruppo, così da permettere ai partecipanti di unirsi facilmente.",Il codice generato è univoco e contiene il Session ID e la chiave pubblica ECC. Il QR Code è scannerizzabile. Il codice può essere condiviso anche offline.,17
9,Partecipante,Unione a escursione di gruppo,"Come escursionista, voglio poter unirmi a un'escursione di gruppo inserendo il codice invito fornito dal Capogruppo, così da partecipare all'escursione in modo coordinato.",L'inserimento di un codice valido aggiunge l'utente alla sessione. Un codice non valido mostra un messaggio di errore. L'unione è possibile anche tramite scansione QR Code.,18
12,Partecipante,Mappa offline e bussola,"Come escursionista, voglio poter consultare una mappa offline con la mia posizione e una bussola, così da orientarmi anche senza copertura internet.",La mappa OSM con padding di 1 km è scaricata preventivamente. La bussola è funzionante offline. La posizione relativa rispetto al gruppo è visibile.,20
